start_ts,ttft_ms,itl_mean_ms,total_ms,n_output_tokens,ok
1781489777.287322,223.7091064453125,10.136331830705915,365.6177520751953,19,True
1781489777.2958283,215.7430648803711,10.443886121114096,403.7330150604248,23,True
1781489777.2938282,217.7431583404541,11.927491142636253,468.22047233581543,26,True
1781489777.294829,216.74251556396484,11.953841556202281,479.72702980041504,27,True
1781489777.296829,214.74242210388184,11.825581391652426,498.55637550354004,29,True
1781489777.2958283,184.6792697906494,12.50244677066803,584.7575664520264,34,True
1781489777.2928247,218.20640563964844,12.60139002944484,634.0522766113281,38,True
1781489777.296829,214.74242210388184,12.585018620346531,630.0480365753174,38,True
1781489777.2928247,207.77297019958496,13.426877356864312,704.5674324035645,42,True
1781489777.294829,216.74251556396484,13.4096081192429,712.8980159759521,42,True
1781489777.2958283,215.20280838012695,12.977076613384744,812.1483325958252,51,True
1781489777.6643727,54.691314697265625,14.807762923064056,454.5009136199951,32,True
1781489777.296829,183.67862701416016,12.709182851454791,831.8469524383545,53,True
1781489777.2958283,184.6792697906494,12.73971912907619,834.4049453735352,53,True
1781489777.2938282,186.67936325073242,12.73971912907619,836.4050388336182,53,True
1781489777.7097971,52.790164947509766,14.634910382722554,608.9167594909668,40,True
1781489777.2938282,217.7431583404541,13.680381289983199,1024.885654449463,64,True
1781489777.812371,47.83892631530762,14.224009080366656,517.2312259674072,35,True
1781489777.9391284,58.26377868652344,13.84208599726359,390.4738426208496,26,True
1781489777.783835,87.06521987915039,14.831127264560799,665.4791831970215,44,True
1781489778.0176747,59.70048904418945,15.31458854675293,442.5652027130127,30,True
1781489777.93809,92.70024299621582,14.808605457174366,522.1498012542725,34,True
1781489777.296829,214.74242210388184,14.34267248426165,1218.7294960021973,75,True
1781489777.773823,86.38691902160645,15.743707088713952,826.3411521911621,52,True
1781489778.007727,58.6705207824707,15.780354800977205,658.3240032196045,43,True
1781489777.8920078,54.83412742614746,15.625997465483998,820.5080032348633,54,True
1781489778.175871,102.05531120300293,15.591487288475037,600.9829044342041,37,True
1781489778.1764016,101.52459144592285,14.866101436125927,681.302547454834,44,True
1781489778.3394792,98.91343116760254,14.471487565474078,576.4725208282471,38,True
1781489778.1193972,54.78072166442871,14.758759853886623,807.4774742126465,53,True
1781489778.1764016,71.87318801879883,14.147977034250895,750.9760856628418,50,True
1781489778.1291926,128.88836860656738,14.06919712923011,818.2790279388428,54,True
1781489778.4700105,130.15365600585938,12.403837272099086,477.4610996246338,33,True
1781489778.330631,98.27232360839844,14.771161935268303,674.3476390838623,44,True
1781489778.3405046,98.39105606079102,15.289356542188067,755.8333873748779,48,True
1781489778.787768,59.073686599731445,15.339051975923427,319.8375701904297,22,True
1781489778.3301165,98.78683090209961,14.962134153946586,787.0450019836426,51,True
1781489778.46024,54.625511169433594,15.122783944961872,765.3963565826416,49,True
1781489778.4694924,130.67173957824707,14.450441707264293,766.491174697876,49,True
1781489778.6094809,57.091474533081055,15.656667947769165,683.3581924438477,45,True
1781489778.9375114,124.06802177429199,15.835776048548082,393.2762145996094,22,True
1781489778.7236488,52.18052864074707,15.144122274298416,627.6571750640869,40,True
1781489778.9972303,99.10774230957031,17.596020418054916,398.2400894165039,22,True
1781489778.5333014,55.83977699279785,15.060030330311168,884.1414451599121,57,True
1781489778.6769063,56.203365325927734,16.289749810861988,756.6626071929932,48,True
1781489778.9385903,122.48659133911133,16.195307607236114,494.978666305542,28,True
1781489779.1176763,97.96261787414551,17.638430875890396,397.8159427642822,22,True
1781489778.9967139,64.8655891418457,16.63387522977941,630.4173469543457,36,True
1781489778.9278998,67.78240203857422,17.0661887607059,699.2313861846924,39,True
1781489779.1649215,60.7147216796875,16.863412857055664,482.3000431060791,30,True
1781489779.3050377,90.43264389038086,15.906319898717543,360.8400821685791,22,True
1781489779.0167131,91.41206741333008,16.901594219785746,649.1646766662598,38,True
1781489778.8698103,58.089494705200195,17.041244506835938,910.1517200469971,55,True
1781489779.4450972,90.97599983215332,16.055833209644664,444.20433044433594,27,True
1781489779.1081252,56.27894401550293,15.94375009122102,789.6914482116699,48,True
1781489779.4051795,99.8384952545166,14.962690217154366,518.7938213348389,33,True
1781489779.2475274,93.66202354431152,16.27417512842127,695.8065032958984,42,True
1781489779.237007,55.3128719329834,15.78582763671875,844.6042537689209,52,True
1781489779.44458,91.49312973022461,15.333112917448345,674.1514205932617,43,True
1781489779.3964994,91.32170677185059,14.912023100742074,732.5387001037598,48,True
1781489779.637723,101.90510749816895,13.778464547519025,501.4805793762207,34,True
1781489779.676397,94.07901763916016,15.435985156467982,526.2866020202637,33,True
1781489779.6387594,100.36563873291016,14.953505608343308,563.9243125915527,36,True
1781489779.434615,53.20620536804199,16.102662086486816,858.3393096923828,52,True
1781489779.5260794,60.28294563293457,15.497406323750814,804.1584491729736,50,True
1781489779.666396,55.26161193847656,16.090654191516695,731.0690879821777,44,True
1781489779.341709,52.96015739440918,16.43101113741515,1055.2518367767334,63,True
1781489779.677424,93.05214881896973,16.03034485218137,782.3569774627686,48,True
1781489779.9116378,108.42394828796387,15.511109911162277,558.2461357116699,34,True
1781489779.9528048,98.71053695678711,16.964410032544816,573.714017868042,33,True
1781489779.791025,87.31293678283691,16.445194802633146,761.5659236907959,46,True
1781489780.220299,92.3616886138916,18.39287140790154,405.0405025482178,22,True
1781489780.092984,93.4898853302002,16.54578024341214,606.4090728759766,36,True
1781489779.8997893,102.54955291748047,15.423667674161951,858.309268951416,54,True
1781489780.1869912,105.96299171447754,14.883622527122498,582.2389125823975,37,True
1781489780.409055,60.82892417907715,15.61300277709961,451.1539936065674,30,True
1781489780.3410254,97.4893569946289,15.078450952257429,519.6859836578369,33,True
1781489779.9433339,97.90515899658203,15.658045714756229,927.7815818786621,58,True
1781489780.1295552,57.43598937988281,15.677605734931099,762.9282474517822,47,True
1781489780.1397133,142.79651641845703,15.814003490266344,806.9846630096436,47,True
1781489780.220299,62.210798263549805,15.662184128394491,876.6443729400635,54,True
1781489780.480627,98.60372543334961,15.531736261704388,626.6827583312988,39,True
1781489780.408508,61.966657638549805,15.779791808709865,708.9381217956543,46,True
1781489780.4709878,54.83126640319824,15.281165518411777,681.359052658081,43,True
1781489780.7108274,58.40277671813965,17.99444357554118,490.26942253112793,29,True
1781489780.6361318,53.52067947387695,16.240686178207397,573.2226371765137,37,True
1781489780.303303,94.1619873046875,15.91940019644943,906.0513973236084,56,True
1781489780.570161,54.6722412109375,15.367370843887329,669.3670749664307,42,True
1781489780.8721538,152.38380432128906,16.713544726371765,419.8005199432373,21,True
1781489780.8814704,143.0671215057373,16.251143287209903,419.33655738830566,22,True
1781489780.780091,90.5003547668457,18.72710559679114,521.223783493042,28,True
1781489780.5439885,91.63236618041992,16.025088050148703,973.0122089385986,60,True
1781489781.2100024,109.94648933410645,15.837631727519788,410.8614921569824,24,True
1781489780.946698,98.76847267150879,15.93327522277832,720.1662063598633,44,True
1781489780.7701735,56.054115295410156,16.258928510877823,934.0362548828125,56,True
1781489781.319949,110.39447784423828,13.041257858276367,384.260892868042,26,True
1781489780.957212,67.32559204101562,15.251558759938115,768.897294998169,48,True
1781489780.8726704,74.02753829956055,15.807819366455078,864.4185066223145,52,True
1781489781.2000654,102.28395462036133,14.49131965637207,537.0235443115234,35,True
1781489781.318917,111.42635345458984,14.650519077594463,492.3398494720459,31,True
